Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
2000,0,0,SUMPF,1.840,1.753,1.515,200.00,180,true
2000,0,1,GRASLAND,0.891,1.753,1.796,200.00,489,true
2000,0,2,SUMPF,0.710,2.000,1.821,187.75,36,true
2000,0,3,GRASLAND,0.573,1.830,1.053,200.00,167,true
2000,0,4,WÜSTE,0.808,1.827,1.821,100.00,0,true
2000,0,5,VULKAN,0.808,1.827,1.821,44.14,8,true
2000,0,6,WÜSTE,0.573,1.830,0.846,3.20,38,true
2000,0,7,SUMPF,0.952,2.000,1.385,166.08,8,true
2000,0,8,SUMPF,1.070,2.000,1.192,200.00,77,true
2000,0,9,GRASLAND,1.070,2.000,1.192,181.00,71,true
2000,0,10,VULKAN,1.070,2.000,0.838,22.60,9,true
2000,0,11,TUNDRA,0.532,2.000,0.932,84.86,17,true
2000,0,12,WÜSTE,0.532,2.000,1.350,87.60,2,true
2000,0,13,TUNDRA,0.633,2.000,2.000,97.79,27,true
2000,0,14,WÜSTE,0.703,1.761,1.510,16.30,14,true
2000,0,15,SUMPF,0.633,2.000,2.000,47.01,10,true
2000,0,16,TUNDRA,0.750,2.000,2.000,198.29,243,true
2000,0,17,OZEAN,0.872,1.873,2.000,200.00,410,true
2000,0,18,OZEAN,0.892,1.767,1.546,166.33,49,true
2000,0,19,VULKAN,0.607,1.131,1.546,68.76,3,true
2000,0,20,VULKAN,0.854,1.987,1.840,31.03,8,true
2000,0,21,WALD,0.641,2.000,2.000,167.99,36,true
2000,0,22,TUNDRA,0.800,2.000,2.000,99.92,1,true
2000,0,23,TUNDRA,0.641,2.000,2.000,95.91,50,true
2000,0,24,SUMPF,0.558,2.000,2.000,54.67,46,true
2000,0,25,VULKAN,0.762,2.000,2.000,31.20,8,true
2000,0,26,TUNDRA,0.546,2.000,2.000,99.66,4,true
2000,0,27,OZEAN,0.845,2.000,2.000,200.00,300,true
2000,0,28,WALD,1.877,2.000,1.217,200.00,371,true
2000,0,29,WALD,1.305,2.000,1.449,200.00,129,true
2000,0,30,GEBIRGE,1.305,2.000,1.232,200.00,245,true
2000,0,31,WÜSTE,1.423,2.000,1.639,18.08,19,true
2000,0,32,WALD,1.423,2.000,1.232,200.00,76,true
2000,0,33,WÜSTE,1.423,2.000,1.232,86.08,3,true
2000,0,34,OZEAN,0.579,2.000,1.588,146.65,96,true
2000,0,35,WÜSTE,0.579,2.000,1.588,56.60,7,true
2000,0,36,WALD,0.500,2.000,1.529,200.00,213,true
2000,0,37,WALD,0.500,2.000,1.506,200.00,52,true
2000,0,38,GEBIRGE,0.500,2.000,1.506,108.58,124,true
2000,0,39,WÜSTE,1.217,1.896,1.356,57.32,1077,true
2000,0,40,OZEAN,0.500,2.000,2.000,200.00,163,true
2000,0,41,SUMPF,0.500,2.000,2.000,200.00,263,true
2000,0,42,GEBIRGE,0.500,2.000,2.000,166.13,169,true
2000,0,43,GRASLAND,0.500,0.932,2.000,107.55,64,true
2000,0,44,GEBIRGE,0.500,0.932,2.000,27.94,11,true
2000,0,45,GRASLAND,0.500,1.320,2.000,105.58,17,true
2000,0,46,OZEAN,0.500,1.320,2.000,93.78,66,true
2000,0,47,OZEAN,0.583,1.542,1.283,200.00,298,true
2000,0,48,GRASLAND,1.840,1.753,1.515,200.00,144,true
2000,0,49,WÜSTE,2.000,2.000,1.002,56.75,17,true
2000,1,0,WÜSTE,0.710,2.000,1.821,87.77,2,true
2000,1,1,WALD,0.710,2.000,1.821,186.18,47,true
2000,1,2,OZEAN,0.929,2.000,1.125,200.00,1139,true
2000,1,3,GRASLAND,0.808,1.827,1.821,150.00,11,true
2000,1,4,TUNDRA,0.500,1.830,0.761,61.33,17,true
2000,1,5,OZEAN,0.573,1.830,1.310,200.00,150,true
2000,1,6,VULKAN,1.070,2.000,0.952,122.60,263,true
2000,1,7,GRASLAND,1.070,2.000,1.192,200.00,141,true
2000,1,8,SUMPF,0.792,2.000,0.952,200.00,278,true
2000,1,9,GEBIRGE,1.255,2.000,1.192,138.94,13,true
2000,1,10,TUNDRA,1.070,2.000,1.192,97.76,4,true
2000,1,11,OZEAN,0.532,2.000,1.350,63.78,35,true
2000,1,12,WÜSTE,0.720,2.000,1.333,25.60,12,true
2000,1,13,WALD,0.633,2.000,2.000,200.00,131,true
2000,1,14,VULKAN,0.633,2.000,2.000,91.40,1,true
2000,1,15,GEBIRGE,0.872,1.873,2.000,200.00,384,true
2000,1,16,OZEAN,0.872,1.800,2.000,200.00,194,true
2000,1,17,WALD,0.849,1.873,1.518,200.00,177,true
2000,1,18,SUMPF,0.849,1.873,1.518,200.00,83,true
2000,1,19,TUNDRA,0.849,1.873,1.518,42.05,53,true
2000,1,20,WÜSTE,0.849,1.873,1.514,60.57,6,true
2000,1,21,WALD,0.641,2.000,2.000,185.97,71,true
2000,1,22,WÜSTE,0.850,1.513,1.221,53.85,6,true
2000,1,23,TUNDRA,0.636,2.000,2.000,38.25,290,true
2000,1,24,TUNDRA,0.868,2.000,2.000,47.49,117,true
2000,1,25,SUMPF,0.546,2.000,2.000,111.50,27,true
2000,1,26,TUNDRA,0.971,2.000,2.000,48.50,67,true
2000,1,27,SUMPF,0.971,1.721,2.000,200.00,29,true
2000,1,28,TUNDRA,1.305,2.000,1.275,74.80,56,true
2000,1,29,VULKAN,2.000,2.000,1.797,54.60,6,true
2000,1,30,TUNDRA,1.305,2.000,1.449,32.48,241,true
2000,1,31,GEBIRGE,1.877,1.922,1.154,200.00,686,true
2000,1,32,OZEAN,1.423,2.000,1.232,150.00,11,true
2000,1,33,GRASLAND,1.423,2.000,1.232,200.00,66,true
2000,1,34,WALD,0.589,2.000,1.588,200.00,169,true
2000,1,35,GRASLAND,0.500,2.000,1.772,200.00,323,true
2000,1,36,OZEAN,0.500,2.000,1.316,200.00,627,true
2000,1,37,OZEAN,0.500,2.000,1.506,200.00,80,true
2000,1,38,TUNDRA,0.500,2.000,1.506,90.49,32,true
2000,1,39,OZEAN,0.877,1.913,1.183,200.00,1552,true
2000,1,40,WÜSTE,1.772,2.000,2.000,133.34,908,true
2000,1,41,SUMPF,0.587,2.000,1.502,200.00,23,true
2000,1,42,WALD,0.500,0.932,2.000,134.36,22,true
2000,1,43,WÜSTE,0.500,0.932,2.000,20.74,8,true
2000,1,44,WALD,0.500,1.320,2.000,182.20,103,true
2000,1,45,VULKAN,0.500,1.320,2.000,50.34,5,true
2000,1,46,OZEAN,0.500,1.320,2.000,116.99,209,true
2000,1,47,TUNDRA,1.254,2.000,1.136,97.57,4,true
2000,1,48,TUNDRA,1.146,1.753,1.515,25.59,39,true
2000,1,49,GEBIRGE,1.840,2.000,1.136,173.84,110,true
2000,2,0,TUNDRA,1.840,2.000,1.136,59.58,56,true
2000,2,1,GRASLAND,0.891,1.782,1.975,200.00,357,true
2000,2,2,SUMPF,0.710,2.000,1.821,200.00,63,true
2000,2,3,OZEAN,0.573,1.830,1.310,200.00,402,true
2000,2,4,SUMPF,0.710,1.819,1.821,159.17,9,true
2000,2,5,SUMPF,1.211,1.287,1.404,200.00,457,true
2000,2,6,WÜSTE,0.573,1.917,1.170,35.57,10,true
2000,2,7,GRASLAND,1.070,2.000,0.952,200.00,247,true
2000,2,8,GEBIRGE,1.070,2.000,1.192,83.20,52,true
2000,2,9,WÜSTE,1.070,2.000,1.192,12.15,70,true
2000,2,10,WÜSTE,1.070,1.921,1.552,70.28,5,true
2000,2,11,WÜSTE,1.070,2.000,0.831,42.25,33,true
2000,2,12,OZEAN,0.682,1.967,0.502,200.00,369,true
2000,2,13,WALD,0.682,1.967,0.502,200.00,249,true
2000,2,14,OZEAN,0.633,2.000,2.000,63.19,24,true
2000,2,15,WÜSTE,1.449,2.000,1.660,57.96,10,true
2000,2,16,GEBIRGE,1.449,2.000,2.000,72.22,21,true
2000,2,17,TUNDRA,0.872,1.950,2.000,21.31,203,true
2000,2,18,WÜSTE,0.849,1.873,1.518,7.99,14,true
2000,2,19,GRASLAND,0.849,1.873,1.514,199.14,38,true
2000,2,20,SUMPF,0.641,1.782,2.000,181.11,40,true
2000,2,21,WALD,0.641,2.000,2.000,200.00,38,true
2000,2,22,VULKAN,0.706,2.000,2.000,82.80,2,true
2000,2,23,WÜSTE,1.141,2.000,1.326,50.75,9,true
2000,2,24,WALD,1.196,2.000,2.000,170.94,53,true
2000,2,25,WALD,1.877,2.000,0.733,200.00,706,true
2000,2,26,OZEAN,0.546,2.000,2.000,195.25,58,true
2000,2,27,WÜSTE,1.756,2.000,1.217,103.46,318,true
2000,2,28,SUMPF,2.000,2.000,1.797,200.00,90,true
2000,2,29,OZEAN,1.756,1.159,1.585,200.00,287,true
2000,2,30,TUNDRA,1.305,2.000,1.449,92.54,248,true
2000,2,31,SUMPF,0.868,2.000,1.177,200.00,248,true
2000,2,32,WÜSTE,1.309,2.000,1.177,138.79,254,true
2000,2,33,VULKAN,1.664,2.000,1.232,100.00,0,true
2000,2,34,GEBIRGE,0.589,2.000,1.588,200.00,301,true
2000,2,35,OZEAN,1.435,1.756,0.500,200.00,1300,true
2000,2,36,SUMPF,0.500,1.461,1.557,200.00,354,true
2000,2,37,SUMPF,0.500,2.000,1.316,200.00,585,true
2000,2,38,WALD,0.500,2.000,1.506,167.79,61,true
2000,2,39,GRASLAND,0.500,2.000,1.233,200.00,202,true
2000,2,40,TUNDRA,0.637,1.433,2.000,12.24,21,true
2000,2,41,OZEAN,0.637,1.693,2.000,137.50,95,true
2000,2,42,GRASLAND,0.637,1.693,1.502,200.00,80,true
2000,2,43,SUMPF,0.587,2.000,1.993,200.00,395,true
2000,2,44,GRASLAND,0.500,1.320,2.000,200.00,13,true
2000,2,45,TUNDRA,0.500,1.320,2.000,18.24,16,true
2000,2,46,TUNDRA,1.231,2.000,1.078,93.23,10,true
2000,2,47,TUNDRA,2.000,2.000,1.136,90.47,22,true
2000,2,48,SUMPF,1.840,2.000,1.136,149.36,52,true
2000,2,49,WÜSTE,1.840,2.000,1.237,64.70,12,true
2000,3,0,TUNDRA,0.500,2.000,2.000,58.43,57,true
2000,3,1,TUNDRA,1.220,1.753,1.515,79.42,199,true
2000,3,2,VULKAN,0.710,2.000,2.000,31.20,8,true
2000,3,3,WALD,0.710,2.000,1.821,140.46,85,true
2000,3,4,TUNDRA,0.710,2.000,1.821,98.06,15,true
2000,3,5,OZEAN,0.573,1.830,1.170,51.48,49,true
2000,3,6,SUMPF,1.362,1.287,1.404,200.00,291,true
2000,3,7,VULKAN,1.266,2.000,1.631,14.00,10,true
2000,3,8,OZEAN,0.716,1.560,0.710,133.82,126,true
2000,3,9,SUMPF,0.990,1.560,0.500,115.37,54,true
2000,3,10,VULKAN,0.532,2.000,1.350,39.80,7,true
2000,3,11,TUNDRA,0.636,1.560,0.500,48.95,10,true
2000,3,12,GEBIRGE,0.500,2.000,2.000,59.45,78,true
2000,3,13,WÜSTE,0.633,2.000,1.850,44.20,9,true
2000,3,14,VULKAN,0.633,2.000,2.000,21.25,10,true
2000,3,15,GEBIRGE,1.449,2.000,2.000,200.00,196,true
2000,3,16,GRASLAND,1.580,2.000,2.000,164.80,4,true
2000,3,17,WÜSTE,1.476,2.000,2.000,80.09,5,true
2000,3,18,OZEAN,0.872,1.800,2.000,200.00,160,true
2000,3,19,WÜSTE,0.849,1.873,1.514,53.99,7,true
2000,3,20,WÜSTE,0.849,1.873,1.514,34.28,10,true
2000,3,21,VULKAN,0.641,1.782,2.000,55.08,5,true
2000,3,22,VULKAN,0.685,2.000,2.000,74.20,3,true
2000,3,23,WALD,0.845,2.000,2.000,200.00,170,true
2000,3,24,WÜSTE,1.196,2.000,2.000,65.38,7,true
2000,3,25,VULKAN,1.196,2.000,2.000,57.00,5,true
2000,3,26,TUNDRA,2.000,2.000,1.797,53.64,59,true
2000,3,27,WÜSTE,0.585,2.000,2.000,19.40,13,true
2000,3,28,WÜSTE,2.000,2.000,1.585,42.53,29,true
2000,3,29,OZEAN,2.000,2.000,1.585,200.00,100,true
2000,3,30,WÜSTE,2.000,2.000,1.585,28.66,36,true
2000,3,31,OZEAN,1.520,1.766,1.258,200.00,412,true
2000,3,32,TUNDRA,2.000,2.000,1.501,198.31,391,true
2000,3,33,WALD,1.368,2.000,1.049,200.00,54,true
2000,3,34,GRASLAND,1.403,2.000,1.019,200.00,829,true
2000,3,35,TUNDRA,1.911,2.000,1.019,90.76,646,true
2000,3,36,SUMPF,0.577,1.536,1.233,187.38,80,true
2000,3,37,VULKAN,0.500,2.000,1.336,91.40,1,true
2000,3,38,WALD,0.500,1.862,1.233,200.00,200,true
2000,3,39,VULKAN,0.500,2.000,1.031,48.40,6,true
2000,3,40,OZEAN,0.637,1.693,2.000,200.00,57,true
2000,3,41,WÜSTE,0.582,1.693,1.904,0.33,14,true
2000,3,42,WALD,0.500,1.591,1.993,200.00,229,true
2000,3,43,VULKAN,0.500,1.987,1.411,13.79,10,true
2000,3,44,GRASLAND,0.587,1.975,1.993,200.00,238,true
2000,3,45,WÜSTE,0.699,1.589,1.754,125.54,244,true
2000,3,46,GRASLAND,1.137,2.000,1.078,195.80,9,true
2000,3,47,SUMPF,1.137,2.000,1.078,135.35,41,true
2000,3,48,GEBIRGE,0.800,1.589,1.754,2.30,71,true
2000,3,49,WÜSTE,1.840,1.774,1.136,77.91,5,true
2000,4,0,WÜSTE,0.500,2.000,1.753,50.40,8,true
2000,4,1,TUNDRA,0.500,2.000,1.753,186.70,256,true
2000,4,2,VULKAN,0.710,2.000,1.821,57.00,5,true
2000,4,3,VULKAN,0.710,2.000,1.821,65.60,4,true
2000,4,4,VULKAN,0.710,2.000,1.821,91.40,1,true
2000,4,5,VULKAN,0.573,1.830,1.170,100.00,0,true
2000,4,6,WÜSTE,0.721,1.354,1.308,50.64,6,true
2000,4,7,SUMPF,1.070,2.000,0.952,200.00,191,true
2000,4,8,GRASLAND,1.465,2.000,1.243,200.00,140,true
2000,4,9,GRASLAND,1.197,1.380,0.547,200.00,714,true
2000,4,10,OZEAN,0.886,1.906,0.500,110.10,9,true
